caldt,vwretd,vwretx,ewretd,ewretx,sprtrn
06/08/1949,0.007758,0.007000,0.010378,0.009720,
06/09/1949,-0.000092,-0.000135,-0.001842,-0.002051,
06/10/1949,-0.008730,-0.008730,-0.010260,-0.010260,
06/13/1949,-0.019811,-0.020113,-0.026260,-0.026543,
06/14/1949,0.007420,0.007420,0.006459,0.006459,
06/15/1949,0.020024,0.019128,0.023323,0.022896,
06/16/1949,-0.004048,-0.004048,-0.001365,-0.001365,
06/17/1949,0.002073,0.002024,-0.000339,-0.000504,
06/20/1949,0.014911,0.014911,0.017260,0.017260,
06/21/1949,0.000496,0.000496,0.000460,0.000460,
06/22/1949,-0.002748,-0.002851,-0.004135,-0.004290,
06/23/1949,0.005262,0.005262,0.007756,0.007756,
06/24/1949,0.001487,0.001487,-0.001321,-0.001321,
06/27/1949,-0.001036,-0.001036,-0.001077,-0.001077,
06/28/1949,-0.008354,-0.008613,-0.009819,-0.010442,
06/29/1949,0.006380,0.006103,0.005365,0.005020,
06/30/1949,0.004955,0.004877,0.006020,0.005841,
07/01/1949,0.007695,0.007695,0.009131,0.009131,
07/05/1949,0.004819,0.004819,0.003763,0.003763,
07/06/1949,0.012302,0.012302,0.010657,0.010657,
07/07/1949,-0.000187,-0.000187,-0.004698,-0.004698,
07/08/1949,-0.000894,-0.000894,-0.001574,-0.001574,
07/11/1949,0.000215,0.000215,-0.001144,-0.001144,
07/12/1949,0.006395,0.006362,0.006932,0.006637,
07/13/1949,0.012148,0.012107,0.014722,0.014590,
07/14/1949,0.001105,0.001105,0.002469,0.002469,
07/15/1949,-0.002695,-0.002695,-0.002274,-0.002274,
07/18/1949,0.003472,0.003187,0.000479,-0.000078,
07/19/1949,0.009502,0.009415,0.010881,0.010792,
07/20/1949,0.001912,0.001912,0.004603,0.004603,
07/21/1949,-0.004356,-0.004671,-0.004855,-0.005113,
07/22/1949,-0.000084,-0.000084,-0.000336,-0.000336,
07/25/1949,0.002961,0.002961,0.004247,0.004247,
07/26/1949,0.008626,0.008626,0.007349,0.007349,
07/27/1949,-0.000317,-0.000485,-0.001135,-0.001329,
07/28/1949,-0.001631,-0.001725,-0.002650,-0.002928,
07/29/1949,0.000143,0.000143,-0.000930,-0.000930,
08/01/1949,0.005221,0.005221,0.003982,0.003982,
08/02/1949,0.003035,0.003035,0.004584,0.004584,
08/03/1949,-0.000374,-0.001056,0.000674,0.000261,
08/04/1949,-0.000930,-0.001292,-0.000237,-0.000791,
08/05/1949,0.014974,0.014974,0.016864,0.016864,
08/08/1949,0.012100,0.010588,0.014436,0.013905,
08/09/1949,-0.006143,-0.008582,-0.003278,-0.003497,
08/10/1949,0.005314,0.005109,0.009287,0.009111,
08/11/1949,-0.002797,-0.003761,-0.005941,-0.007792,
08/12/1949,-0.004438,-0.004438,-0.004482,-0.004482,
08/15/1949,-0.004797,-0.004895,-0.004648,-0.004986,
08/16/1949,0.002558,0.002558,0.001537,0.001537,
08/17/1949,0.011404,0.011256,0.011136,0.010734,
08/18/1949,0.003182,0.002612,0.002094,0.001398,
